date,subscribers,reviews,subsucribers
2019/1/17,2671.0,194,
2019/1/18,2671.0,195,
2019/1/19,2674.0,197,
2019/1/20,2685.0,199,
2019/1/21,2695.0,199,
2019/1/22,2701.0,200,
2019/1/23,2710.0,200,
2019/1/24,2718.0,201,
2019/1/25,2722.0,201,
2019/1/26,2725.0,201,
2019/1/27,2734.0,202,
2019/1/28,2753.0,204,
2019/1/29,2773.0,206,
2019/1/30,2785.0,208,
2019/1/31,2803.0,210,
2019/2/1,2845.0,211,
2019/2/2,2847.0,213,
2019/2/3,2847.0,213,
2019/2/4,2851.0,217,
2019/2/5,2852.0,218,
2019/2/6,2857.0,219,
2019/2/7,2861.0,220,
2019/2/8,2865.0,222,
2019/2/9,2870.0,224,
2019/2/10,2875.0,224,
2019/2/11,2892.0,227,
2019/2/12,2906.0,229,
2019/2/13,2919.0,229,
2019/2/14,2942.0,231,
2019/2/15,2974.0,232,
2019/2/16,2977.0,234,
2019/2/17,2978.0,234,
2019/2/18,2981.0,234,
2019/2/19,2983.0,234,
2019/2/20,2984.0,237,
2019/2/21,2987.0,239,
2019/2/22,2989.0,239,
2019/2/23,2993.0,241,
2019/2/24,2995.0,241,
2019/2/25,3009.0,241,
2019/2/26,3014.0,243,
2019/2/27,3023.0,243,
2019/2/28,3031.0,243,
2019/3/1,3052.0,244,
2019/3/2,3060.0,245,
2019/3/3,3062.0,246,
2019/3/4,3063.0,249,
2019/3/5,3066.0,252,
2019/3/6,3071.0,254,
2019/3/7,3074.0,255,
2019/3/8,3076.0,256,
2019/3/9,3077.0,258,
2019/3/10,3080.0,258,
2019/3/11,3087.0,261,
2019/3/12,3089.0,261,
2019/3/13,3093.0,262,
2019/3/14,3098.0,262,
2019/3/15,3104.0,262,
2019/3/16,3112.0,262,
2019/3/17,3120.0,262,
2019/3/18,3131.0,265,
2019/3/19,3142.0,266,
2019/3/20,3162.0,266,
2019/3/21,3173.0,268,
2019/3/22,3180.0,269,
2019/3/23,3187.0,271,
2019/3/24,3189.0,271,
2019/3/25,3196.0,274,
2019/3/26,3212.0,274,
2019/3/27,3220.0,274,
2019/3/28,3226.0,275,
2019/3/29,3241.0,275,
2019/3/30,3253.0,278,
2019/3/31,3255.0,278,
2019/4/1,3258.0,280,
2019/4/2,3262.0,282,
2019/4/3,3264.0,282,
2019/4/4,3272.0,282,
2019/4/5,3275.0,284,
2019/4/6,3276.0,287,
2019/4/7,3279.0,289,
2019/4/8,3285.0,289,
2019/4/9,3300.0,291,
2019/4/10,3306.0,293,
2019/4/11,3312.0,295,
2019/4/12,3319.0,295,
2019/4/13,3324.0,295,
2019/4/14,3325.0,297,
2019/4/15,3329.0,298,
2019/4/16,3331.0,299,
2019/4/17,3332.0,299,
2019/4/18,3333.0,299,
2019/4/19,3336.0,299,
2019/4/20,3339.0,299,
2019/4/21,3343.0,300,
2019/4/22,3349.0,302,
2019/4/23,3357.0,303,
2019/4/24,3370.0,303,
2019/4/25,3388.0,304,
2019/4/26,3412.0,304,
2019/4/27,3437.0,305,
2019/4/28,3439.0,305,
2019/4/29,3440.0,308,
2019/4/30,3447.0,309,
2019/5/1,3466.0,310,
2019/5/2,3481.0,311,
2019/5/3,3504.0,314,
2019/5/4,3522.0,317,
2019/5/5,3527.0,322,
2019/5/6,3533.0,324,
2019/5/7,3543.0,327,
2019/5/8,3546.0,328,
2019/5/9,3555.0,330,
2019/5/10,3566.0,332,
2019/5/11,3583.0,334,
2019/5/12,3594.0,335,
2019/5/13,3614.0,338,
2019/5/14,3633.0,340,
2019/5/15,3647.0,344,
2019/5/16,3648.0,349,
2019/5/17,3649.0,349,
2019/5/18,3651.0,351,
2019/5/19,3654.0,351,
2019/5/20,3658.0,354,
2019/5/21,3671.0,354,
2019/5/22,3675.0,359,
2019/5/23,3681.0,359,
2019/5/24,3694.0,361,
2019/5/25,3699.0,361,
2019/5/26,3711.0,364,
2019/5/27,3722.0,368,
2019/5/28,3734.0,373,
2019/5/29,3766.0,374,
2019/5/30,3781.0,375,
2019/5/31,3784.0,375,
2019/6/1,3789.0,378,
2019/6/2,3790.0,379,
2019/6/3,3793.0,380,
2019/6/4,3795.0,383,
2019/6/5,3808.0,385,
2019/6/6,3830.0,386,
2019/6/7,3843.0,387,
2019/6/8,3857.0,390,
2019/6/9,3870.0,394,
2019/6/10,3895.0,395,
2019/6/11,3919.0,397,
2019/6/12,3942.0,399,
2019/6/13,3983.0,402,
2019/6/14,4022.0,404,
2019/6/15,4053.0,409,
2019/6/16,4058.0,410,
2019/6/17,4063.0,414,
2019/6/18,4064.0,417,
2019/6/19,4065.0,422,
2019/6/20,4066.0,424,
2019/6/21,4069.0,425,
2019/6/22,4070.0,426,
2019/6/23,4073.0,427,
2019/6/24,4084.0,427,
2019/6/25,4108.0,427,
2019/6/26,4122.0,433,
2019/6/27,4132.0,436,
2019/6/28,4150.0,440,
2019/6/29,4162.0,440,
2019/6/30,4164.0,446,
2019/7/1,4167.0,448,
2019/7/2,4174.0,450,
2019/7/3,4179.0,455,
2019/7/4,4187.0,456,
2019/7/5,4200.0,456,
2019/7/6,4210.0,458,
2019/7/7,4211.0,458,
2019/7/8,4214.0,464,
2019/7/9,4219.0,464,
2019/7/10,4223.0,468,
2019/7/11,4228.0,469,
2019/7/12,4236.0,469,
2019/7/13,4239.0,471,
2019/7/14,4243.0,471,
2019/7/15,4250.0,473,
2019/7/16,4265.0,476,
2019/7/17,4288.0,476,
2019/7/18,4313.0,483,
2019/7/19,4329.0,483,
2019/7/20,4329.0,486,
2019/7/21,4329.0,487,
2019/7/22,4333.0,492,
